Rose: Love, Passion, Beauty
Carnation: Maternal Love, Innocence, Respect
Lily: Purity, Nobility, Blessings
Tulip: Perfect Love, Passion, Tenderness
Daisy: Innocence, Beauty, Hope
Peony: Prosperity, Wealth, Happiness
Sunflower: Loyalty, Sunshine, Positivity
Gypsophila: Purity, Romance, Beautiful Dreams
Peach Blossom: Romantic Luck, Beautiful Fate, Happiness
Hydrangea: Sincerity, Gratitude, Best Wishes
Phalaenopsis: Noble, Elegant, Beautifully Moving
Cherry Blossom: Beauty, Transience, Wonderful Moments
Lily of the Valley: Happiness, Purity, Deep Love
Chrysanthemum: Strength, Longevity, Sincere Friendship
Marigold: Beauty, Blessings, Wellness
Violet: Eternal Love, Purity, Chastity
Edelweiss: Courage, Sincere Love, Preciousness
Bellflower: Hope, Everlasting Love, Humility
Forget-Me-Not: Loyalty, True Love, Beautiful Memories
Paeonia: Fragrance, Wealth, Beautiful Posture
Wisteria: Gentleness, Sentimentality, Protective Love
Lavender: Tranquility, Innocence, Pursuit of Love
Foxglove: Beauty, Joy, Blessings
Dianthus: Delicate Thoughts, Sincerity, Romance
Magnolia: Nobility, Elegance, Eternal Love
Lilac: First Love, Youth, Beautiful Memories
Lotus: Freshness, Purity, Excellence
Ginkgo: Persistence, Friendship, Steadfast Heart
Snowdrop: Hope, New Beginnings, First Bloom
Anthurium: Passion, Attraction, Happy Love
